측정지역,법적구분,용도구분,지역구분,측정지점,측정년도,측정분기,평균 낮,평균 밤,낮 09시 자료,낮 12시 자료,낮 16시 자료,낮 20시 자료,밤 23시 자료,밤 01시 자료
강서구 명지동,나,일반주거,일반,협성휴포레,2023,4,53,40,56,55,53,51,44,37
기장군 기장읍,나,일반주거,도로,기장FILA 앞,2023,4,67,63,66,67,69,67,65,61
기장군 기장읍,나,일반주거,도로,초이스안경 앞,2023,4,69,64,67,69,71,69,68,60
기장군 기장읍,나,일반주거,일반,678치킨 앞,2023,4,52,52,52,52,51,55,54,51
기장군 기장읍,나,일반주거,일반,대진아파트 앞,2023,4,56,51,62,54,54,54,50,52
기장군 기장읍,나,일반주거,일반,유한빌라 앞,2023,4,59,54,58,61,59,59,56,52
기장군 정관읍,나,일반주거,도로,EG더원,2023,4,66,60,66,65,67,66,62,59
기장군 정관읍,나,일반주거,도로,LH아파트,2023,4,66,58,67,66,66,65,60,56
기장군 정관읍,나,일반주거,일반,동일스위트,2023,4,52,45,49,55,51,54,49,41
기장군 정관읍,나,일반주거,일반,이진캐스빌,2023,4,49,41,50,49,51,49,39,44
기장군 정관읍,나,일반주거,일반,하늘애,2023,4,53,50,53,53,55,54,55,46
동래구 사직2동,나,일반주거,도로,시티부동산 건너편,2023,4,62,54,63,62,63,62,58,51
동래구 사직2동,나,일반주거,도로,종로엠스쿨 앞,2023,4,64,59,64,64,66,64,63,55
동래구 사직2동,나,일반주거,일반,남다른대구막창 앞,2023,4,57,51,55,57,57,59,52,50
동래구 사직2동,나,일반주거,일반,대구반야월막창 사직점 앞,2023,4,63,59,61,61,63,67,62,57
동래구 사직2동,나,일반주거,일반,쌍용예가 107동 앞,2023,4,56,45,55,59,58,52,48,43
해운대구 중1동,다,상업,도로,노보텔호텔 우,2023,4,71,68,70,70,69,76,70,67
해운대구 중1동,다,상업,도로,노보텔호텔 좌,2023,4,68,67,68,68,67,70,69,65
영도구 남항동,다,준공업,일반,유성티엠주식회사 앞,2023,2,57,44,60,59,58,53,40,49
해운대구 중1동,다,상업,도로,노보텔호텔 우,2022,4,73,71,74,73,74,73,71,71
해운대구 중1동,다,상업,도로,노보텔호텔 좌,2022,4,73,71,73,73,74,73,72,71
해운대구 중1동,다,상업,일반,노보텔호텔 뒤,2022,4,60,55,58,56,59,67,56,54
해운대구 중1동,다,상업,일반,파라다이스호텔 옆,2022,4,58,55,58,58,59,60,56,55
해운대구 중1동,다,상업,일반,파라다이스호텔 입구,2022,4,59,55,61,57,60,60,57,54
영도구 남항동,다,준공업,도로,구 남항새마을금고 앞,2022,4,66,61,67,66,66,65,63,59
영도구 남항동,다,준공업,도로,카이스트안경 앞,2022,4,67,62,67,68,68,66,64,61
영도구 남항동,다,준공업,일반,신한아파트 앞,2022,4,59,45,63,61,63,52,44,46
